provider	synonym_name	author	taxon_id	usage_key
worms	Glenodinium elpatiewskyi	(Ostenfeld) J.Schiller, 1935	110161	8100709
worms	Peridinium elpatiewskyi	(Ostenfeld) Lemmermann, 1910	110161	7909151
worms	Peridinium elpatiewskyi f. brigantinum	Er.Lindemann, 1920	110161	7662268
worms	Peridinium elpatiewskyi var. bicollineatum	Er.Lindemann, 1919	110161	7662268
worms	Peridinium elpatiewskyi var. biradiatum	Er.Lindemann, 1919	110161	7662268
worms	Peridinium elpatiewskyi var. bitravectum	Er.Lindemann, 1920	110161	7662268
worms	Peridinium elpatiewskyi var. collineatum	Er.Lindemann, 1919	110161	7662268
worms	Peridinium elpatiewskyi var. contortum	Er.Lindemann, 1919	110161	7662268
worms	Peridinium elpatiewskyi var. pseudocunningtonii	Er.Lindemann, 1919	110161	7662268
worms	Peridinium elpatiewskyi var. pseudopenardii	Er.Lindemann, 1919	110161	8355100
worms	Peridinium marchicum var. simplex	Woloszynska, 1916	110161	7524601
worms	Peridinium umbonatum var. elpatiewskyi	Ostenfeld, 1907	110161	7597021
worms	Glenodinium quadridens	(Stein) Schiller, 1935	110166	7563916
worms	Peridinium quadridens	F.Stein, 1883	110166	3206550
worms	Glenodinium tabulatum	(Ehrenberg) Ehrenberg, 1837	110181	7771492
worms	Peridinium bipes f. excisum	(Lemmermann) M.Lefèvre, 1932	110181	3206451
worms	Peridinium bipes f. tabulatum	(Ehrenberg) M.Lefèvre, 1932	110181	7402902
worms	Peridinium bipes var. excisum	Lemmermann, 1900	110181	3206451
worms	Peridinium bipes var. exisum	Lemmermann, 1900	110181	7788931
worms	Peridinium bipes var. ocultatum	Lindemann, 1918	110181	8224234
worms	Peridinium tabulatum	Ehrenberg, 1832	110181	7536081
worms	Peridinium cinctum f. angulatum	(Lindemann) Lefèvre, 1932	110183	8060659
worms	Peridinium cinctum f. areolatum	(Lemmerman) M.Lefèvre, 1926	110183	7535959
worms	Peridinium cinctum f. irregulatum	(Er.Lindemann) M.Lefèvre, 1932	110183	7365283
worms	Peridinium cinctum f. regulatum	(Lindemann) M.Lefèvre, 1932	110183	7948894
worms	Peridinium cinctum var. angulatum	Lindemann, 1919	110183	8146995
worms	Peridinium cinctum var. collineatum	Er.Lindemann, 1920	110183	7535959
worms	Peridinium cinctum var. curvatum	Er.Lindemann, 1920	110183	7535959
worms	Peridinium cinctum var. dissimile	Er.Lindemann, 1920	110183	7535959
worms	Peridinium cinctum var. irregulatum	Er.Lindemann, 1920	110183	7365283
worms	Peridinium cinctum var. laesum	Er.Lindemann, 1920	110183	7635501
worms	Peridinium cinctum var. lemmermannii	G.S.West, 1909	110183	8385711
worms	Peridinium cinctum var. minus	Woronichin, 1923	110183	7535959
worms	Peridinium cinctum var. ornatum	M.Szabados, 1954	110183	7535959
worms	Peridinium cinctum var. regulatum	Er.Lindemann, 1920	110183	7553141
worms	Peridinium cinctum var. travectum	Er.Lindemann, 1920	110183	7535959
worms	Peridinium eximium	Lindemann, 1920	110183	7670666
worms	Peridinium eximium var. mutatum	Er.Lindemann, 1920	110183	7670666
worms	Peridinium germanicum	Er.Lindemann, 1919	110183	8349086
worms	Peridinium kincaidii	Wailes, 1933	110183	8282908
worms	Peridinium kincaidii var. lemmermannii	(G.S.West) Wailes, 1935	110183	8282908
worms	Peridinium rhenanum	Er.Lindemann, 1919	110183	7744006
worms	Peridinium scallense	Er.Lindemann, 1920	110183	7536081
worms	Peridinium semicirculatum	Er.Lindemann, 1920	110183	7536081
worms	Peridinium semicirculatum var. collineatum	Er.Lindemann, 1920	110183	7536081
worms	Peridinium tabulatum var. maeandricum	Lauterborn, 1903	110183	7536081
worms	Peridinium tuberosum	Meunier, 1919	110183	7446437
worms	Peridinium westii var. areolatum	Lemmermann, 1908	110183	7518997
worms	Peridinium westii var. aureolatum	Lemmermann	110183	8348237
worms	Vorticella cincta	O.F.Müller, 1773	110183	7842215
worms	Peridinium guestrowiense	Er.Lindemann, 1916	110197	8171748
worms	Peridinium guestrowiense f. sinuatum	Lindemann, 1918	110197	8171748
worms	Peridinium guestrowiense var. collineatum	Er.Lindemann, 1920	110197	8171748
worms	Peridinium volzii	Wołoszyńska, 1995	110197	7867988
worms	Peridinium volzii var. australe	G.S.West, 1909	110197	7960643
worms	Peridinium volzii var. maximum	C.Bernard, 1909	110197	7732528
worms	Peridinium alatum	Garbini, 1902	110198	7457723
worms	Peridinium australe	(Playfair) Playfair, 1920	110198	8158866
worms	Peridinium hieroglyphicum	(Playfair) Playfair, 1920	110198	7354202
worms	Peridinium striolatum	G.H.Wailes, 1928	110198	8373622
worms	Peridinium tabulatum var. hieroglyphicum	Playfair, 1913	110198	7839649
worms	Peridinium vancouverense	Wailes, 1931	110198	8360480
worms	Peridinium volzii f. sinuatum	(Lindemann) Lefèvre, 1932	110198	7541844
worms	Peridinium achromaticum	Levander, 1902	110205	3206221
worms	Peridinium avellana	Lebour, 1925	110206	7508673
worms	Properidinium avellana	Meunier, 1919	110206	8014123
worms	Glenodinium bipes	Paulsen, 1904	110208	7928428
worms	Miniscula bipes	Lebour, 1925	110208	7426876
worms	Minuscula bipes	(Paulsen) Lebour, 1925	110208	7426507
worms	Peridinium minisculum	Pavillard, 1905	110208	4267782
worms	Peridinium brevipes	Paulsen, 1908	110210	7366756
worms	Peridinium incurvum	Lindemann, 1924	110210	8185350
worms	Peridinium varicans	Paulsen, 1911	110210	7672222
worms	Protoperidinium varicans	Paulsen, 1911	110210	7901001
worms	Peridinium brochii	Kofoid & Swezy, 1921	110211	7516696
worms	Chytroeisphaeridia simplicia	Wall, 1965	110212	7572567
worms	Peridinium conicoides	Paulsen, 1905	110212	3206216
worms	Multispinula quanta	M.R.Bradford, 1975	110213	8143733
worms	Peridinium conicum	(Gran) Ostenfeld & Schmidt, 1902	110213	3206241
worms	Peridinium divergens var. conica	Gran, 1900	110213	11304537
worms	Selenopemphix quanta	(M.R.Bradford) Matsuoka, 1985	110213	8171356
worms	Peridinium crassipes	Kofoid, 1907	110214	8369034
worms	Peridinium curtipes	Jørgensen, 1912	110215	8162133
worms	Peridinium clavus	T.H.Abe, 1936	110216	7536081
worms	Peridinium denticulatum	Gran & Braarud, 1935	110216	7536081
worms	Protoperidinium clavus	(Abé) Abé	110216	7901001
worms	Peridinium depressum	Bailey, 1854	110217	3206129
worms	Peridinium marinum	Lindemann, 1925	110217	7536081
worms	Protoperidinium parallelum	Paulsen, 1907	110217	5730869
worms	Protoperidinium parallelum	Broch, 1906	110217	5730869
worms	Ceratium divergens	(Ehrenberg) Claparède & Lachmann, 1859	110219	11028078
worms	Glenodinium divergens	(Ehrenberg) Dangeard	110219	3206183
worms	Peridinium divergens	Ehrenberg, 1840	110219	3206092
worms	Peridinium excentricum	Paulsen, 1907	110220	7640555
worms	Peridinium granii	Ostenfeld, 1907	110223	7817385
worms	Peridinium islandicum	Paulsen, 1904	110227	7649918
worms	Peridinium laticeps	J.Gröntved & G.Seidenfaden, 1938	110228	7536081
worms	Peridinium leonis	Pavillard, 1916	110229	7772451
