Link to NORCCA website	scientific_name	AphiaID
https://norcca.scrol.net/species/rhodomonas-salina	Rhodomonas salina	106316
https://norcca.scrol.net/species/storeatula-sp	Storeatula	573984
https://norcca.scrol.net/species/ectocarpus-flagelliformis	Ectocarpus flagelliformis	145405
https://norcca.scrol.net/species/volvox-globator	Volvox globator	608656
https://norcca.scrol.net/species/euastrum-verrucosum-var-alpinum	Euastrum verrucosum var. alpinum	674290
https://norcca.scrol.net/species/pleurotaenium-trabecula	Pleurotaenium trabecula	548369
https://norcca.scrol.net/species/micrasterias-papillifera	Micrasterias papillifera	609058
https://norcca.scrol.net/species/pentapharsodinium-dalei	Pentapharsodinium dalei	109925
https://norcca.scrol.net/species/attheya-longicornis	Attheya longicornis	464444
https://norcca.scrol.net/species/parvodinium-centenniale	Parvodinium centenniale	841290
https://norcca.scrol.net/species/euastrum-oblongum	Euastrum oblongum	611205
https://norcca.scrol.net/species/heterosigma-sp	Heterosigma	160584
https://norcca.scrol.net/species/gymnodinium-aureolum	Gymnodinium aureolum	232716
https://norcca.scrol.net/species/emiliania-huxleyi	Emiliania huxleyi	115104
https://norcca.scrol.net/species/nostoc-sp	Nostoc	393172
https://norcca.scrol.net/species/chaetoceros-curvisetus	Chaetoceros curvisetus	149221
https://norcca.scrol.net/species/stanieria-sp	Stanieria	147157
https://norcca.scrol.net/species/euastrum-ruzickae	Euastrum ruzickae	1339250
https://norcca.scrol.net/species/gephyrocapsa-oceanica	Gephyrocapsa oceanica	235955
https://norcca.scrol.net/species/peridinium-volzii	Peridinium volzii	110197
https://norcca.scrol.net/species/staurodesmus-cf-patens	Staurodesmus cf. patens	609279
https://norcca.scrol.net/species/prorocentrum-sp	Prorocentrum	109566
https://norcca.scrol.net/species/chroomonas-sp	Chroomonas	106281
https://norcca.scrol.net/species/karlodinium-veneficum	Karlodinium veneficum	233037
https://norcca.scrol.net/species/tetradesmus-lagerheimii	Tetradesmus lagerheimii	1289276
https://norcca.scrol.net/species/pseudopediastrum-boryanum	Pseudopediastrum boryanum	621601
https://norcca.scrol.net/species/chaetoceros-holsaticus	Chaetoceros holsaticus	163063
https://norcca.scrol.net/species/chaetoceros-fallax	Chaetoceros fallax	163166
https://norcca.scrol.net/species/chaetoceros-salsugineus	Chaetoceros salsugineus	621740
https://norcca.scrol.net/species/chaetoceros-furcellatus	Chaetoceros furcellatus	149624
https://norcca.scrol.net/species/chaetoceros-lorenzianus	Chaetoceros lorenzianus	156617
https://norcca.scrol.net/species/chaetoceros-socialis	Chaetoceros socialis	149123
https://norcca.scrol.net/species/chaetoceros-peruvianus	Chaetoceros peruvianus	178185
https://norcca.scrol.net/species/ulvella-parasitica	Ulvella parasitica	732256
https://norcca.scrol.net/species/ulvella-ramosa	Ulvella ramosa	838145
https://norcca.scrol.net/species/ulvella-repens	Ulvella repens	732257
https://norcca.scrol.net/species/entoderma-reticulata	Entoderma reticulata	838151
https://norcca.scrol.net/species/ulvella-witrockii	Ulvella witrockii	732245
https://norcca.scrol.net/species/ulvella-aequicrassa	Ulvella aequicrassa	838115
https://norcca.scrol.net/species/ulvella-gigas	Ulvella gigas	838117
https://norcca.scrol.net/species/ulvella-glabra	Ulvella glabra	838118
https://norcca.scrol.net/species/ulvella-inopinata	Ulvella inopinata	838122
https://norcca.scrol.net/species/ulvella-pachypes	Ulvella pachypes	838128
https://norcca.scrol.net/species/pseudodictyon-porphyrae	Pseudodictyon porphyrae	838144
https://norcca.scrol.net/species/ulvella-pseudorepens	Ulvella pseudorepens	838129
https://norcca.scrol.net/species/ulvella-setchellii	Ulvella setchellii	144888
https://norcca.scrol.net/species/ulvella-sp	Ulvella	143942
https://norcca.scrol.net/species/epicladia-testarum	Epicladia testarum	838154
https://norcca.scrol.net/species/ulvella-vacuospora	Ulvella vacuospora	838130
https://norcca.scrol.net/species/ulvella-waernii	Ulvella waernii	838131
https://norcca.scrol.net/species/ulvella-dasycala	Ulvella dasycala	838116
https://norcca.scrol.net/species/ulvella-marchantiae	Ulvella marchantiae	732254
https://norcca.scrol.net/species/ruthnielsenia-tenuis	Ruthnielsenia tenuis	376497
https://norcca.scrol.net/species/gomontia-polyrhiza	Gomontia polyrhiza	144903
https://norcca.scrol.net/species/phaeophila-ramulosa	Phaeophila ramulosa	732332
https://norcca.scrol.net/species/peridinium-cinctum	Peridinium cinctum	110183
https://norcca.scrol.net/species/desmodesmus-serratus	Desmodesmus serratus	612513
https://norcca.scrol.net/species/hemidinium-nasutum	Hemidinium nasutum	109891
https://norcca.scrol.net/species/epicladia-perforans	Epicladia perforans	146008
https://norcca.scrol.net/species/phaeophila-dendroides	Phaeophila dendroides	145778
https://norcca.scrol.net/species/bolbocoleon-piliferum	Bolbocoleon piliferum	144865
https://norcca.scrol.net/species/tellamia-contorta	Tellamia contorta	144884
https://norcca.scrol.net/species/pseudendoclonium-dynamenae	Pseudendoclonium dynamenae	156367
https://norcca.scrol.net/species/ovillaria-catenata	Ovillaria catenata	613385
https://norcca.scrol.net/species/epicladia-phillipsii	Epicladia phillipsii	146009
https://norcca.scrol.net/species/epicladia-flustrae	Epicladia flustrae	146005
https://norcca.scrol.net/species/pseudendoclonium-submarinum	Pseudendoclonium submarinum	144879
https://norcca.scrol.net/species/ochlochaete-hystrix	Ochlochaete hystrix	146012
https://norcca.scrol.net/species/neostromatella-monostromatica	Neostromatella monostromatica	840291
