scientific_name	aphia_id	scientific_name_accepted	aphia_id_accepted
Peridinium aciculiferum	418143	Apocalathium aciculiferum	1359179
Peridinium africanum	577284	Parvodinium africanum	838470
Peridinium goslaviense	110186	Parvodinium goslaviense	838486
Peridinium grenlandicum	638721	Protoperidinium grenlandicum	233295
Peridinium inconspicuum	110188	Parvodinium inconspicuum	838487
Peridinium inconspicuum f. armatum	698314	Parvodinium inconspicuum var. armatum	1381873
Peridinium lomnickii	163841	Chimonodinium lomnickii	838278
Peridinium lubieniense	700539	Parvodinium lubieniense	841291
Peridinium palatinum	110191	Palatinus apiculatus	623653
Peridinium palustre	110192	Peridinium raciborskii var. palustre	684810
Peridinium pusillum	110193	Parvodinium pusillum	838488
Peridinium quinquecorne	233804	Peridinium quadridentatum	1305343
Peridinium umbonatum var. deflandrei	672196	Parvodinium deflandrei	838485
Peridinium umbonatum var. goslaviense	675427	Parvodinium goslaviense	838486
Durinskia baltica	248118	Durinskia dybowskii	841287
Scrippsiella faeroense	163452	Scrippsiella acuminata	1321853
Scrippsiella hangoei	233093	Apocalathium malmogiense	1380043
Scrippsiella trochoidea	110172	Scrippsiella acuminata	1321853
Pseudopfiesteria shumwayae	418160	Pfiesteria shumwayae	246599
Diplopsalis acuta	573687	Kolkwitziella acuta	109583
Protoperidinium minutum	110233	Archaeperidinium minutum	624607
Protoperidinium murrayi	233104	Protoperidinium oceanicum	110240
Sphaerodinium cinctum	576701	Glenodiniopsis steinii	576700
Sphaerodinium cinctum var. limneticum	695087	Sphaerodinium limneticum	663774
Hemidinium ochraceum	109892	Nottbeckia ochracea	1356541
Amphidinium elenkinii	503865	Prosoaulax lacustris	503329
Amphidinium geitleri	663675	Nusuttodinium amphidinioides	840907
Gymnodinium aeruginosum	109782	Nusuttodinium aeruginosum	837252
Gymnodinium chlorophorum	109785	Lepidodinium chlorophorum	345481
Gymnodinium conicum	109787	Spatulodinium pseudonoctiluca	109923
Gymnodinium fissum	162938	Levanderina fissa	840689
Gymnodinium galatheanum	109796	Karlodinium veneficum	233037
Gymnodinium halophilum	109802	Biecheleria halophila	626298
Gymnodinium helveticum	109804	Gyrodinium helveticum	639206
Gymnodinium lebourae	109808	Spatulodinium pseudonoctiluca	109923
Gymnodinium lohmannii	109809	Gymnodinium gracile	109800
Gymnodinium pigmentosum	109821	Aureodinium pigmentosum	577368
Gymnodinium pseudonoctiluca	109823	Spatulodinium pseudonoctiluca	109923
Gymnodinium rotundatum	163820	Cystodinium unicorne	663873
Gymnodinium simplex	109831	Protodinium simplex	663583
Gymnodinium vestifici	109837	Kapelodinium vestifici	1368615
Gymnodinium sanguineum	162544	Akashiwo sanguinea	232546
Gyrodinium pascheri	663753	Borghiella pascheri	1380298
Gyrodinium resplendens	109874	Barrufeta resplendens	1371463
Gyrodinium uncatenum	447735	Levanderina fissa	840689
Katodinium fungiforme	109883	Speroidium fungiforme	1380403
Katodinium glaucum	109885	Lebouridinium glaucum	1382182
Katodinium vorticella	162528	Opisthoaulax vorticella	625987
Karlodinium micrum	233027	Karlodinium veneficum	233037
Proterythropsis vigilans	233115	Nematopsides vigilans	547527
Prorocentrum compressum	110295	Pyxidicula compressa var. compressa	978142
Prorocentrum minimum	110304	Prorocentrum cordatum	232376
Prorocentrum redfieldii	110310	Prorocentrum triestinum	110316
Woloszynskia coronata	663475	Tovellia coronata	619818
