strain_name	species	division	class	habitat	strain_link	species_link	scientific_name	taxon_id	url_slug
K-0302	Ulvella scutata	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Rhodomela confervoides	https://norcca.scrol.net/strain/k-0302	https://norcca.scrol.net/species/ulvella-scutata	Ulvella scutata	732330	k-0302
K-0332	Rhodomonas baltica	Cryptophyta	Cryptophyceae	Marine	https://norcca.scrol.net/strain/k-0332	https://norcca.scrol.net/species/rhodomonas-baltica	Rhodomonas baltica	106297	k-0332
K-0334	Eutreptiella gymnastica	Euglenozoa	Euglenophyceae	Marine	https://norcca.scrol.net/strain/k-0334	https://norcca.scrol.net/species/eutreptiella-gymnastica	Eutreptiella gymnastica	110652	k-0334
K-0336	Prorocentrum cordatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-0336	https://norcca.scrol.net/species/prorocentrum-cordatum	Prorocentrum cordatum	232376	k-0336
K-0338	Ulvella viridis	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Derbesia balbisiana or Bryopsis disticha	https://norcca.scrol.net/strain/k-0338	https://norcca.scrol.net/species/ulvella-viridis	Ulvella viridis	732259	k-0338
K-0339	Tribonema vulgare	Ochrophyta	Xanthophyceae	Freshwater, Glyceria-swamp	https://norcca.scrol.net/strain/k-0339	https://norcca.scrol.net/species/tribonema-vulgare	Tribonema vulgare	577560	k-0339
K-0355	Prorocentrum cordatum	Myzozoa	Dinophyceae	Marine	https://norcca.scrol.net/strain/k-0355	https://norcca.scrol.net/species/prorocentrum-cordatum	Prorocentrum cordatum	232376	k-0355
K-0358	Myrionema strangulans	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Laminaria sp.	https://norcca.scrol.net/strain/k-0358	https://norcca.scrol.net/species/myrionema-strangulans	Myrionema strangulans	144985	k-0358
K-0359	Stictyosiphon soriferus	Ochrophyta	Phaeophyceae	Marine, Stony reefs, depth c. 3m	https://norcca.scrol.net/strain/k-0359	https://norcca.scrol.net/species/stictyosiphon-soriferus	Stictyosiphon soriferus	145354	k-0359
K-0360	Syncoryne reinkei	Chlorophyta	Ulvophyceae	Marine, Epiphyte on Halosaccion ramentaceum	https://norcca.scrol.net/strain/k-0360	https://norcca.scrol.net/species/syncoryne-reinkei	Syncoryne reinkei	144883	k-0360
K-0361	Litosiphon laminariae	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Acrothrix gracilis	https://norcca.scrol.net/strain/k-0361	https://norcca.scrol.net/species/litosiphon-laminariae	Litosiphon laminariae	145327	k-0361
K-0364	Vaucheria coronata	Ochrophyta	Xanthophyceae	Brackish, On the verge of a large salt pan	https://norcca.scrol.net/strain/k-0364	https://norcca.scrol.net/species/vaucheria-coronata	Vaucheria coronata	146020	k-0364
K-0371	Stictyosiphon tortilis	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-0371	https://norcca.scrol.net/species/stictyosiphon-tortilis	Stictyosiphon tortilis	145355	k-0371
K-0372	Delamarea attenuata	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-0372	https://norcca.scrol.net/species/delamarea-attenuata	Delamarea attenuata	145317	k-0372
K-0373	Delamarea attenuata	Ochrophyta	Phaeophyceae	Marine	https://norcca.scrol.net/strain/k-0373	https://norcca.scrol.net/species/delamarea-attenuata	Delamarea attenuata	145317	k-0373
K-0374	Prymnesium parvum f. patelliferum	Haptophyta	Prymnesiophyceae	Marine	https://norcca.scrol.net/strain/k-0374	https://norcca.scrol.net/species/prymnesium-parvum-f-patelliferum	Prymnesium parvum f. patelliferum	688549	k-0374
K-0377	Tetraselmis marina	Chlorophyta	Chlorodendrophyceae	Marine, On calcareous shells	https://norcca.scrol.net/strain/k-0377	https://norcca.scrol.net/species/tetraselmis-marina	Tetraselmis marina	376158	k-0377
K-0379	Vaucheria litorea	Ochrophyta	Xanthophyceae	Brackish, Waterfilled salt pan	https://norcca.scrol.net/strain/k-0379	https://norcca.scrol.net/species/vaucheria-litorea	Vaucheria litorea	146024	k-0379
