List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_um3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form
 "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"
PEG_BVOL2021	x		CHAROPHYTA	Klebsormidiophyceae	KLEBSORMIDIALES	Elakatothrix	Elakatothrix genevensis			(Reverdin) Hindák 1962	578431	http://www.marinespecies.org/aphia.php?p=taxdetails&id=578431	AU	2 cones	?/12*d^2*h	1			cell	 3-4x15-20				18	3,5		1	57,6975			9,731508588				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Klebsormidiophyceae	KLEBSORMIDIALES	Elakatothrix	Elakatothrix genevensis			(Reverdin) Hindák 1962	578431	http://www.marinespecies.org/aphia.php?p=taxdetails&id=578431	AU	2 cones	?/12*d^2*h	2			colony	 3-4x15-20				18	3,5		2	115,395			19,46301718				Species	colonies of 2,4,8,16 cells, enclosed by a spindle-shaped mucilaginous envelope
PEG_BVOL2021	x		CHAROPHYTA	Klebsormidiophyceae	KLEBSORMIDIALES	Elakatothrix	Elakatothrix genevensis			(Reverdin) Hindák 1962	578431	http://www.marinespecies.org/aphia.php?p=taxdetails&id=578431	AU	2 cones	?/12*d^2*h	3			cell	 4-6x25-35				30	5		1	196,25			30,71864301				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Klebsormidiophyceae	KLEBSORMIDIALES	Elakatothrix	Elakatothrix genevensis			(Reverdin) Hindák 1962	578431	http://www.marinespecies.org/aphia.php?p=taxdetails&id=578431	AU	2 cones	?/12*d^2*h	4			colony	 4-6x25-35				30	5		2	392,5			61,43728603				Species	colonies of 2,4,8,16 cells, enclosed by a spindle-shaped mucilaginous envelope
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium lineatum			Ehrenberg ex Ralfs 1848	608739	http://www.marinespecies.org/aphia.php?p=taxdetails&id=608739	AU	2 cones	?/12*d^2*h	1			cell	 15-20x550-600				574	16,8		1	42391,5072			4780,448003				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Spondylosium	Spondylosium planum			(Wolle) West & G.S.West 1912	609110	https://www.marinespecies.org/aphia.php?p=taxdetails&id=609110	AU	flattened ellipsoid	?/6*l*d1*d2	1			cell	10-20x10-20	15				15	6	1	706,5			102,2751382		AphiaID_link corrected from http://www.marinespecies.org/aphia.php?p=taxdetails&id=162728 to https://www.marinespecies.org/aphia.php?p=taxdetails&id=609110		Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Staurodesmus	Staurodesmus triangularis			(Lagerheim) Teiling 1948	609286	http://www.marinespecies.org/aphia.php?p=taxdetails&id=609286	AU	two truncated cones	?/6*h*(d1^2+d1d2+d2^2)	1			cell	20x17				17	20	16	1	8683,146667			1078,627733				Species	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium acutum var. variabile			(Lemmermann) Willi Kreiger 1935	670627	http://www.marinespecies.org/aphia.php?p=taxdetails&id=670627	AU	2 cones	?/12*d^2*h	1			cell	 4x80-100				90	4		1	376,8			56,67896104				Variety	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Closterium	Closterium acutum var. variabile			(Lemmermann) Willi Kreiger 1935	670627	http://www.marinespecies.org/aphia.php?p=taxdetails&id=670627	AU	2 cones	?/12*d^2*h	2			cell	 5x120-180				150	5		1	981,25			139,2306533				Variety	 -
PEG_BVOL2021	x		CHAROPHYTA	Conjugatophyceae	DESMIDIALES	Xanthidium	Xanthidium antilopeum			(Bréb.) Kützing 1849	704932	http://www.marinespecies.org/aphia.php?p=taxdetails&id=704932	AU	2 rotational ellipsoids	2x?/6*d^2*l	2			cell	25-30x50-60	55				27		1	41966,1			4735,387758				Species	 -
