taxon_id	itis_id	url
109719	10009	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10009
109723	183871	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=183871
109726	10017	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10017
109733	10019	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10019
109735	10016	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10016
109741	10007	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10007
109745	10001	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10001
109746	202443	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=202443
109754	10006	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10006
109759	10022	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10022
109766	10026	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10026
109767	10027	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10027
109770	10029	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10029
109773	573360	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573360
109777	10042	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10042
109784	331276	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=331276
109792	10049	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10049
109794	10040	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10040
109819	331284	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=331284
109825	10035	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10035
109826	10070	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10070
109834	180910	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=180910
109849	331290	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=331290
109851	10082	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10082
109852	10089	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10089
109854	573416	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573416
109856	10088	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10088
109872	10085	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10085
109876	10086	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10086
109878	10096	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=10096
109881	573420	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=573420
