List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_µm3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions - NOT IMPORTED, NOT handled by ICES	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	10			colony	 2-3					2,5		200	1635,416667			310,75181	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	rotational ellipsoid	?/6*d^2*l	11			cell	<2	2				1		1	1,046667			0,225452				Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	rotational ellipsoid	?/6*d^2*l	12			colony	<2	2				1		20	20,933333			4,509037	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	rotational ellipsoid	?/6*d^2*l	13			colony	<2	2				1		50	52,333333			11,272593	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	rotational ellipsoid	?/6*d^2*l	14			colony	<2	2				1		100	104,666667			22,545187	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	rotational ellipsoid	?/6*d^2*l	15			colony	<2	2				1		200	209,333333			45,090373	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	16			cell	0.8-1.5					1,2		1	0,90432			0,196535				Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	17			colony	0.8-1.5					1,2		20	18,0864			3,930703	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	18			colony	0.8-1.5					1,2		50	45,216			9,826758	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	19			colony	0.8-1.5					1,2		100	90,432			19,653515	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Chroococcales	Chroococcales				146543	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146543	AU	sphere	?/6*d^3	20			colony	0.8-1.5					1,2		200	180,864			39,30703	based on individual cell			Order	Flat, spherical, cubic or irregular colony or solitary
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Gomphosphaeria	Gomphosphaeria aponina			Kützing 1836	146572	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146572	AU	rotational ellipsoid	?/6*d^2*l	1			cell	4-6.5x8-12	10				5,2		1	141,509333			22,596488				Species	Spherical or irregular / cells only on surface, in one layer
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Gomphosphaeria	Gomphosphaeria aponina			Kützing 1836	146572	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146572	AU	rotational ellipsoid	?/6*d^2*l	2			colony	4-6.5x8-12	10				5,2		20	2830,186667			451,929761	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer
PEG_BVOL2023	x		CYANOPHYTA (CYANOBACTERIA)	Cyanophyceae	CHROOCOCCALES	Gomphosphaeria	Gomphosphaeria aponina			Kützing 1836	146572	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146572	AU	rotational ellipsoid	?/6*d^2*l	3			colony	4-6.5x8-12	10				5,2		50	7075,466667			1129,824402	based on individual cell			Species	Spherical or irregular / cells only on surface, in one layer
