scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Synechococcophycideae	Subclass	493819	Cyanophyceae	146542		accepted	Bacteria	Cyanobacteria	Cyanophyceae				[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae
Synechococcales	Order	345514	Synechococcophycideae	493819		accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales			[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales
Merismopediaceae	Family	146608	Synechococcales	345514		accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales - [Family] Merismopediaceae
Merismopedioideae	Subfamily	146609	Merismopediaceae	146608		accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales - [Family] Merismopediaceae - [Subfamily] Merismopedioideae
Oscillatoriophycideae	Subclass	368682	Cyanophyceae	146542		accepted	Bacteria	Cyanobacteria	Cyanophyceae				[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae
Oscillatoriales	Order	146603	Oscillatoriophycideae	368682	Cavalier-Smith, 2002	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales			[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Oscillatoriales
Phormidiaceae	Family	146604	Oscillatoriales	146603	Anagnostidis & Komárek, 1988	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Phormidiaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Oscillatoriales - [Family] Phormidiaceae
Phormidioideae	Subfamily	146707	Phormidiaceae	146604		accepted	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Phormidiaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Oscillatoriales - [Family] Phormidiaceae - [Subfamily] Phormidioideae
Planktothrix	Genus	146551	Phormidioideae	146707	Anagnostidis & Komárek, 1988	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Phormidiaceae	Planktothrix	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Oscillatoriales - [Family] Phormidiaceae - [Subfamily] Phormidioideae - [Genus] Planktothrix
Oscillatoriaceae	Family	146548	Oscillatoriales	146603	Engler, 1898	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Oscillatoriales - [Family] Oscillatoriaceae
Oscillatoria	Genus	146549	Oscillatoriaceae	146548	Vaucher ex Gomont, 1892	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Oscillatoria	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Oscillatoriales - [Family] Oscillatoriaceae - [Genus] Oscillatoria
Chroococcales	Order	146543	Oscillatoriophycideae	368682	R. von Wettstein von Westerheim, 2002	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales			[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Chroococcales
Microcystaceae	Family	146556	Chroococcales	146543	Elenkin, 1933	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Chroococcales - [Family] Microcystaceae
Microcystis	Genus	146557	Microcystaceae	146556	Lemmermann, 1907	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Chroococcales - [Family] Microcystaceae - [Genus] Microcystis
Aphanocapsa	Genus	146562	Merismopedioideae	146609	C.Nägeli, 1849	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae	Aphanocapsa	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales - [Family] Merismopediaceae - [Subfamily] Merismopedioideae - [Genus] Aphanocapsa
Chroococcaceae	Family	146544	Chroococcales	146543	Rabenhorst, 1863	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae		[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Chroococcales - [Family] Chroococcaceae
Chroococcus	Genus	146565	Chroococcaceae	146544	Nägeli, 1849	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Chroococcaceae	Chroococcus	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Oscillatoriophycideae - [Order] Chroococcales - [Family] Chroococcaceae - [Genus] Chroococcus
